"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-ADBF30\Memory\Cache Bytes"	"\\SALAVATI-ADBF30\Memory\Pool Paged Allocs"	"\\SALAVATI-ADBF30\Memory\System Driver Total Bytes"	"\\SALAVATI-ADBF30\System\Context Switches/sec"	"\\SALAVATI-ADBF30\Thread(_Total/_Total)\Context Switches/sec"
"12/11/2009 13:36:55.968"	"70492160"	"71288"	"3018752"	"5574.3131666869085"	"5574.3131666869085"
"12/11/2009 13:36:56.968"	"70852608"	"71294"	"3018752"	"5360.0274983841755"	"5339.9675152315403"
"12/11/2009 13:36:57.968"	"72601600"	"71349"	"3018752"	"5610.9769405674897"	"5605.9929496805044"
"12/11/2009 13:36:58.968"	"73560064"	"71410"	"3018752"	"6343.2151744833318"	"6348.2098321010353"
"12/11/2009 13:36:59.968"	"74280960"	"71293"	"3018752"	"7181.7658799283709"	"7150.6455637027939"
"12/11/2009 13:37:00.968"	"79314944"	"72775"	"3018752"	"9278.6384080831158"	"9274.6203769439653"
"12/11/2009 13:37:01.968"	"74887168"	"72880"	"3018752"	"6782.7838364983008"	"6789.7681681922531"
"12/11/2009 13:37:02.968"	"78479360"	"74717"	"3018752"	"14564.169172268284"	"2880.5269835755198"
"12/11/2009 13:37:03.968"	"76681216"	"74743"	"3018752"	"8081.8421307273438"	"7508.1311152744765"
"12/11/2009 13:37:04.968"	"76804096"	"74932"	"3018752"	"5980.817385423672"	"5957.8756242721138"
"12/11/2009 13:37:05.968"	"75735040"	"74604"	"3018752"	"5509.6145051321482"	"5220.4802162330843"
"12/11/2009 13:37:06.968"	"75726848"	"74533"	"3018752"	"4525.260855805097"	"4524.2627832740418"
"12/11/2009 13:37:07.968"	"76070912"	"74307"	"3018752"	"79170.921859809358"	"79169.918883703911"
"12/11/2009 13:37:08.968"	"76025856"	"74349"	"3018752"	"12189.626464798164"	"12191.607229579575"
"12/11/2009 13:37:09.968"	"76025856"	"74271"	"3018752"	"7220.8360540678341"	"7218.8162397869755"
"12/11/2009 13:37:10.968"	"76066816"	"74151"	"3018752"	"5380.7650997696392"	"5384.7266422690091"
"12/11/2009 13:37:11.968"	"76242944"	"74221"	"3018752"	"5868.9926437762433"	"5868.9926437762433"
"12/11/2009 13:37:12.968"	"76152832"	"74211"	"3018752"	"6450.2609843431919"	"6444.243014213188"
"12/11/2009 13:37:13.968"	"75694080"	"74395"	"3018752"	"5889.0626168614572"	"5886.0477383886609"
"12/11/2009 13:37:14.968"	"75726848"	"74297"	"3018752"	"6083.9897876878858"	"6086.9580702318872"
"12/11/2009 13:37:15.968"	"75829248"	"74326"	"3018752"	"6687.393217740796"	"6684.361761159771"
"12/11/2009 13:37:16.968"	"75796480"	"74309"	"3018752"	"5901.0431428831107"	"5899.052573430291"
"12/11/2009 13:37:17.968"	"75792384"	"74227"	"3018752"	"6132.3184555135358"	"6132.3184555135358"
"12/11/2009 13:37:18.968"	"76128256"	"74211"	"3018752"	"6640.4896107932"	"6640.4896107932"
"12/11/2009 13:37:23.323"	"76161024"	"74280"	"3018752"	"7111.196695405094"	"7107.1847367617056"
"12/11/2009 13:37:24.323"	"75485184"	"74199"	"3018752"	"7674.918814792105"	" "
"12/11/2009 13:37:25.338"	"71086080"	"73965"	"3018752"	"5951.6190602658717"	"5950.625799408017"
"12/11/2009 13:37:26.338"	"71131136"	"73957"	"3018752"	"7321.0250099177119"	"7217.2231556530296"
"12/11/2009 13:37:27.338"	"71327744"	"74645"	"3018752"	"10181.657969034182"	"9860.5832588168669"
"12/11/2009 13:37:28.338"	"71417856"	"74702"	"3018752"	"5329.7563341275027"	"5332.7624008698194"
"12/11/2009 13:37:29.338"	"71479296"	"74854"	"3018752"	"8404.5922524614525"	"6507.905794160326"
"12/11/2009 13:37:30.338"	"73629696"	"75516"	"3018752"	"8871.7696540471661"	"8708.3999905322617"
"12/11/2009 13:37:31.338"	"71888896"	"75459"	"3018752"	"134092.2344009706"	"134091.23780316755"
