"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-8CDE27\Memory\Cache Bytes"	"\\SALAVATI-8CDE27\Memory\System Driver Total Bytes"	"\\SALAVATI-8CDE27\System\Context Switches/sec"	"\\SALAVATI-8CDE27\Thread(_Total/_Total)\Context Switches/sec"
"12/10/2009 20:16:09.484"	"128495616"	"8441856"	"3725.4551933795401"	"2358.987031210821"
"12/10/2009 20:16:10.484"	"128548864"	"8441856"	"4587.5996862906695"	"4580.5169342386107"
"12/10/2009 20:16:11.484"	"128532480"	"8441856"	"4680.7521582071386"	"4678.7788225586537"
"12/10/2009 20:16:12.484"	"128540672"	"8441856"	"4817.8016777665307"	"4773.2767305239922"
"12/10/2009 20:16:13.484"	"128610304"	"8441856"	"4503.1083726017951"	"4503.1083726017951"
"12/10/2009 20:16:14.484"	"128675840"	"8441856"	"4700.3782300188013"	"4280.1759870415208"
"12/10/2009 20:16:15.484"	"128241664"	"8441856"	"4898.8008035776111"	"4891.8067987591239"
"12/10/2009 20:16:16.484"	"128311296"	"8441856"	"4806.6988752714906"	"4792.5317627970062"
