"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-ADBF30\Memory\Cache Bytes"	"\\SALAVATI-ADBF30\Memory\Pool Paged Allocs"	"\\SALAVATI-ADBF30\Memory\System Driver Total Bytes"	"\\SALAVATI-ADBF30\System\Context Switches/sec"	"\\SALAVATI-ADBF30\Thread(_Total/_Total)\Context Switches/sec"
"12/11/2009 13:23:46.796"	"63053824"	"51664"	"3018752"	"1620.156101020347"	"1600.1541738472563"
"12/11/2009 13:23:47.796"	"63172608"	"51665"	"3018752"	"2031.2337324972311"	"2025.2330420024091"
"12/11/2009 13:23:48.796"	"63156224"	"51457"	"3018752"	"2019.2056944673614"	"2014.2051850704636"
"12/11/2009 13:23:49.796"	"63234048"	"51496"	"3018752"	"1177.0840968553468"	"1168.0834538037768"
"12/11/2009 13:23:50.796"	"63291392"	"51630"	"3018752"	"1472.137345276323"	"1472.137345276323"
"12/11/2009 13:23:51.796"	"63348736"	"51424"	"3018752"	"1054.0862398136021"	"1053.086157992147"
"12/11/2009 13:23:52.796"	"63430656"	"51531"	"3018752"	"1111.1039509587993"	"1109.1037638283603"
"12/11/2009 13:23:53.796"	"63537152"	"51643"	"3018752"	"845.07516279280719"	"847.07534069290853"
"12/11/2009 13:23:54.796"	"63610880"	"51638"	"3018752"	"1752.2105747951284"	"1752.2105747951284"
"12/11/2009 13:23:55.796"	"63172608"	"51607"	"3018752"	"639.03459791629552"	"639.03459791629552"
"12/11/2009 13:23:56.796"	"63184896"	"51472"	"3018752"	"1347.1575237265733"	"1346.1574067824556"
"12/11/2009 13:23:57.796"	"63250432"	"51505"	"3018752"	"1362.122038517849"	"1361.1219489154128"
"12/11/2009 13:23:58.796"	"63373312"	"51635"	"3018752"	"1007.0461343021727"	"1003.0459510477451"
"12/11/2009 13:23:59.796"	"63422464"	"51609"	"3018752"	"978.09244438032579"	"978.09244438032579"
"12/11/2009 13:24:00.796"	"63483904"	"51661"	"3018752"	"826.03023676619841"	"824.03016355368936"
"12/11/2009 13:24:01.796"	"63557632"	"51484"	"3018752"	"1324.1608062147702"	"1323.1606847599253"
"12/11/2009 13:24:02.796"	"63692800"	"51484"	"3018752"	"1264.1481006369145"	"1265.1482178051399"
"12/11/2009 13:24:03.796"	"63827968"	"51604"	"3018752"	"1040.0475557249617"	"1023.0467783717653"
"12/11/2009 13:24:04.796"	"63229952"	"51465"	"3018752"	"1520.1066224021065"	"1518.1064821094722"
"12/11/2009 13:24:05.796"	"63266816"	"51589"	"3018752"	"584.04097580739847"	"587.04118629955985"
"12/11/2009 13:24:06.796"	"63291392"	"51622"	"3018752"	"1123.1363651252259"	"1121.1361222665878"
"12/11/2009 13:24:07.796"	"63332352"	"51398"	"3018752"	"1199.1465139994241"	"1199.1465139994241"
"12/11/2009 13:24:08.796"	"63475712"	"51631"	"3018752"	"2064.2382901331725"	"2061.2379437812347"
